关卡,文件名,文件名备份,难度,解锁机制,管道,参与循环,金币奖励,管道最大容量,出口数,引导内容,,,,
1,1,1,普通,生成器,P1,,25,,,,E,普通,,
2,2,2,普通,生成器,P2,,25,,,,E,普通,,
3,3,3,普通,生成器,P1,,25,,,,E,普通,,
4,4,4,普通,生成器,P3,,25,,,,E,普通,,
5,5,5,普通,盲球,P3,,25,,,机制x生成器,E,普通,,
6,6,6,普通,盲球,P5,,25,,,道具x任意球,E,普通,,
7,7,7,普通,盲球,P6,,25,,,,E,普通,,
8,8,8,普通,盲球,P1,,25,,,道具x盒子移除,M,普通,,
9,9,9,普通,盲球,P5,,25,,,,M,普通,,
10,10,10,普通,围栏箱子,P4,,25,,,机制x盲球,E,普通,,
11,11,11,普通,围栏箱子,P8,,25,,,道具x管道清空,E,普通,,
12,12,12,普通,围栏箱子,P7,,25,,,,E,普通,,
13,13,13,普通,围栏箱子,P6,,25,,,,E,普通,,
14,14,14,普通,围栏箱子,P9,,25,,,,E,普通,,
15,15,15,普通,冰冻球,P10,,25,,,机制x围栏箱子,E,普通,,
16,16,16,普通,冰冻球,P14,,25,,,,E,普通,,
17,17,17,困难,冰冻球,P1,,50,,,,H,困难,,
18,18,18,非常困难,冰冻球,P15,18,75,,,,SH,非常困难,,
19,19,19,普通,冰冻球,P14,,25,,,,E,普通,,
20,20,20,普通,冰冻球,P9,,25,,,,E,普通,,
21,21,21,普通,出口塞,P16,,25,,,机制x冰冻球,E,普通,,
22,22,22,普通,出口塞,P22,,25,,,,E,普通,,
23,23,23,普通,出口塞,P13,23,25,,,,M,普通,,
24,24,24,普通,出口塞,P15,24,25,,,,E,普通,,
25,25,25,困难,出口塞,P11,25,50,,,,H,困难,,
26,26,26,普通,出口塞,P4,26,25,,,,E,普通,,
27,27,27,普通,出口塞,P20,27,25,,,,M,普通,,
28,28,28,普通,出口塞,P3,28,25,,,,E,普通,,
29,29,29,普通,出口塞,P11,29,25,,,,M,普通,,
30,30,30,非常困难,出口塞,P7,30,75,,,,SH,非常困难,,
31,31,31,普通,空间锁,P14,,25,,,机制x出口塞,E,普通,,
32,32,32,普通,空间锁,P22,,25,,,,E,普通,,
33,33,33,普通,空间锁,P12,33,25,,,,M,普通,,
34,34,34,普通,空间锁,P2,34,25,,,,E,普通,,
35,35,35,困难,空间锁,P13,35,50,,,,H,困难,,
36,36,36,普通,空间锁,P19,36,25,,,,E,普通,,
37,37,37,普通,空间锁,P10,37,25,,,,M,普通,,
38,38,38,普通,空间锁,P18,38,25,,,,E,普通,,
39,39,39,普通,空间锁,P17,39,25,,,,M,普通,,
40,40,70,非常困难,空间锁,P21,40,75,,,,SH,非常困难,,
41,41,41,普通,盲盒容器,P15_2,,25,,,机制x空间锁,E,普通,,
42,42,42,普通,盲盒容器,P13,,25,,,,E,普通,,
43,43,43,普通,盲盒容器,P7,43,25,,,,M,普通,,
44,44,44,普通,盲盒容器,P1,44,25,,,,E,普通,,
45,45,45,困难,盲盒容器,P16,45,50,,,,H,困难,,
46,46,46,普通,盲盒容器,P10,46,25,,,,E,普通,,
47,47,47,普通,盲盒容器,P19,47,25,,,,M,普通,,
48,48,48,普通,盲盒容器,P33,48,25,,,,E,普通,,
49,49,49,普通,盲盒容器,P30,49,25,,,,M,普通,,
50,50,50,非常困难,盲盒容器,P18,50,75,,,,SH,非常困难,,
51,51,51,普通,透明生成器,P29,,25,,,机制x盲盒容器,E,普通,,
52,52,52,普通,透明生成器,P27,,25,,,,M,普通,,
53,53,53,普通,透明生成器,P22,53,25,,,,M,普通,,
54,54,54,困难,透明生成器,P26,54,50,,,,H,困难,,
55,55,55,普通,透明生成器,P15,55,25,,,,M,普通,,
56,56,56,普通,透明生成器,P18,56,25,,,,M,普通,,
57,57,57,困难,透明生成器,P13,57,50,,,,H,困难,,
58,58,58,普通,透明生成器,P10,58,25,,,,E,普通,,
59,59,59,普通,透明生成器,P22,59,25,,,,M,普通,,
60,60,60,非常困难,透明生成器,P7,60,75,,,,SH,非常困难,,
61,61,61,普通,封锁木箱,P13,,25,,,机制x透明生成器,E,普通,,
62,62,62,普通,封锁木箱,P19,62,25,,,,M,普通,,
63,63,63,普通,封锁木箱,P12,63,25,,,,M,普通,,
64,64,64,困难,封锁木箱,P14,64,50,,,,H,困难,,
