商品id,谷歌商品id,iOS商品id,商品描述,显示折扣,售价(美元),可重复购买,奖励类型,奖励数值,免广告,无限体力,,,,,,,,,,,,,
remove_ads,io.voodo.ballloop.remove_ads,io.voodo.ballloop.remove_ads,No Ads,,7.99,否,no ads service,0,1,,,,,,,,,,,,,,
lives_refill_bundle_v2,io.voodo.ballloop.lives_refill_bundle_v2,io.voodo.ballloop.lives_refill_bundle_v2,Starter Pack,,4.99,否,"1_3000,100_1,101_1,102_1","Gold 3000, 道具各自1个，无限体力1小时",0,60,橙,,,,,,,,,,,,
coinpack_001,io.voodo.ballloop.coinpack_001,io.voodo.ballloop.coinpack_001,Coin Pack 1,,1.99,是,1_1000,1000,0,,蓝,,,,,,,,,,,,
coinpack_002,io.voodo.ballloop.coinpack_002,io.voodo.ballloop.coinpack_002,Coin Pack 2,,7.99,是,1_5000,5000,0,,蓝,,,,,,,,,,,,
coinpack_003,io.voodo.ballloop.coinpack_003,io.voodo.ballloop.coinpack_003,Coin Pack 3,,14.99,是,1_10000,10000,1,,蓝,,,,,,,,,,,,
coinpack_004,io.voodo.ballloop.coinpack_004,io.voodo.ballloop.coinpack_004,Coin Pack 4,,29.99,是,1_25000,25000,1,,蓝,,,,,,,,,,,,
coinpack_005,io.voodo.ballloop.coinpack_005,io.voodo.ballloop.coinpack_005,Coin Pack 5,,54.99,是,1_50000,50000,1,,蓝,,,,,,,,,,,,
coinpack_006,io.voodo.ballloop.coinpack_006,io.voodo.ballloop.coinpack_006,Coin Pack 6,,99.99,是,1_100000,100000,1,,蓝,,,,,,,,,,,,
no_ads_pack,io.voodo.ballloop.no_ads_pack,io.voodo.ballloop.no_ads_pack,No Ads Pack,,9.99,否,"1_3000,100_1,101_1","Gold 3000, 前两个道具各1个",1,,不显示在商城,,,,,,,,,,,,
small_bundle,io.voodo.ballloop.small_bundle,io.voodo.ballloop.small_bundle,Small Bundle,,5.99,是,"1_2500,100_1","Gold 2500,无限体力30分钟",0,30,紫,,,,,,,,,,,,
medium_bundle,io.voodo.ballloop.medium_bundle,io.voodo.ballloop.medium_bundle,Medium Bundle,,12.99,是,"1_7500,100_2,101_2","Gold 7500,无限体力2小时, 前两个道具各2个",1,120,紫,,,,,,,,,,,,
large_bundle,io.voodo.ballloop.large_bundle,io.voodo.ballloop.large_bundle,Large Bundle,,26.99,是,"1_20000,100_4,101_4,102_4","Gold 20000, 道具各自4个，无限体力4小时",1,240,紫,,,,,,,,,,,,
giant_bundle,io.voodo.ballloop.giant_bundle,io.voodo.ballloop.giant_bundle,Extra Large Bundle,,49.99,是,"1_40000,100_8,101_8,102_8","Gold 40000, 道具各自8个，无限体力8小时",1,480,紫,,,,,,,,,,,,
ultra_bundle,io.voodo.ballloop.ultra_bundle,io.voodo.ballloop.ultra_bundle,XXL Bunlde,,99.99,是,"1_90000,100_12,101_12,102_12","Gold 90000, 道具各自12个，无限体力24小时",1,1440,红,,,,,,,,,,,,
fail_offer,io.voodo.ballloop.fail_offer,io.voodo.ballloop.fail_offer,Fail Offer,,4.99,是,1_2000,"Gold 2000,无限体力30分钟,复活次数1次",0,30,不显示在商城,,,,,,,,,,,,
hard_fail_offer,io.voodo.ballloop.hard_fail_offer,io.voodo.ballloop.hard_fail_offer,Fail Offer(Very Hard),,7.99,是,"1_3200,100_1,101_1,102_1","Gold 3200,道具各自1个,无限体力45分钟，复活次数1次",0,45,不显示在商城,,,,,,,,,,,,
popuppack_001,io.voodo.ballloop.popuppack_001,io.voodo.ballloop.popuppack_001,Out of Coin Pack 1,,2.99,是,1_1000,100000,0,,不显示在商城,,,,,,,,,,,,
popuppack_002,io.voodo.ballloop.popuppack_002,io.voodo.ballloop.popuppack_002,Out of Coin Pack 2,,5.99,是,1_2500,100000,0,,不显示在商城,,,,,,,,,,,,
popuppack_003,io.voodo.ballloop.popuppack_003,io.voodo.ballloop.popuppack_003,Out of Coin Pack 3,,9.99,是,1_6000,100000,0,,不显示在商城,,,,,,,,,,,,
